Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,Finish,Playoffs,R,RA,BatAge,PitchAge,#Bat,#Pitch,Top Player,Managers
1,2012,Boston Red Sox,AL East,160,69,91,0,.431,5th of 5,,729,788,29.4,28.7,56,26,D.Pedroia (4.6),Bobby Valentine (69-91)
2,2011,Boston Red Sox,AL East,162,90,72,0,.556,3rd of 5,,875,737,30.0,30.3,49,27,J.Ellsbury (8.0),Terry Francona (90-72)
3,2010,Boston Red Sox,AL East,162,89,73,0,.549,3rd of 5,,818,744,30.8,29.6,53,25,A.Beltre (7.4),Terry Francona (89-73)
4,2009,Boston Red Sox,AL East,162,95,67,0,.586,2nd of 5,Lost LDS (3-0),872,736,30.0,29.8,52,27,K.Youkilis (6.3),Terry Francona (95-67)
5,2008,Boston Red Sox,AL East,162,95,67,0,.586,2nd of 5,Lost ALCS (4-3),845,694,29.8,29.2,47,23,D.Pedroia (6.8),Terry Francona (95-67)
6,2007,Boston Red Sox,AL East,162,96,66,0,.593,1st of 5,Won WS (4-0),867,657,30.2,31.1,40,20,J.Beckett (6.2),Terry Francona (96-66)
7,2006,Boston Red Sox,AL East,162,86,76,0,.531,3rd of 5,,820,825,30.5,31.1,53,28,D.Ortiz (5.5),Terry Francona (86-76)
8,2005,Boston Red Sox,AL East,162,95,67,0,.586,2nd of 5,Lost LDS (3-0),910,805,31.5,33.6,52,26,D.Ortiz (5.1),Terry Francona (95-67)
9,2004,Boston Red Sox,AL East,162,98,64,0,.605,2nd of 5,Won WS (4-0),949,768,30.6,32.5,50,26,C.Schilling (7.4),Terry Francona (98-64)
10,2003,Boston Red Sox,AL East,162,95,67,0,.586,2nd of 5,Lost ALCS (4-3),961,809,29.8,31.2,47,26,P.Martinez (7.7),Grady Little (95-67)
11,2002,Boston Red Sox,AL East,162,93,69,0,.574,2nd of 5,,859,665,30.0,31.0,39,18,D.Lowe (7.0),Grady Little (93-69)
12,2001,Boston Red Sox,AL East,161,82,79,0,.509,2nd of 5,,772,745,30.0,30.7,48,23,P.Martinez (4.9),Jimy Williams (65-53) and Joe Kerrigan (17-26)
13,2000,Boston Red Sox,AL East,162,85,77,0,.525,2nd of 5,,792,745,29.3,30.1,52,24,P.Martinez (11.4),Jimy Williams (85-77)
14,1999,Boston Red Sox,AL East,162,94,68,0,.580,2nd of 5,Lost ALCS (4-1),836,718,28.9,30.1,48,25,P.Martinez (9.5),Jimy Williams (94-68)
15,1998,Boston Red Sox,AL East,162,92,70,0,.568,2nd of 5,Lost LDS (3-1),876,729,28.9,29.5,47,23,P.Martinez (6.8),Jimy Williams (92-70)
16,1997,Boston Red Sox,AL East,162,78,84,0,.481,4th of 5,,851,857,28.0,27.8,46,25,N.Garciaparra (6.5),Jimy Williams (78-84)
17,1996,Boston Red Sox,AL East,162,85,77,0,.525,3rd of 5,,928,921,28.4,28.7,55,23,R.Clemens (7.5),Kevin Kennedy (85-77)
18,1995,Boston Red Sox,AL East,144,86,58,0,.597,1st of 5,Lost LDS (3-0),791,698,28.6,29.1,53,26,J.Valentin (8.1),Kevin Kennedy (86-58)
19,1994,Boston Red Sox,AL East,115,54,61,0,.470,4th of 5,,552,621,29.9,30.2,45,23,R.Clemens (5.8),Butch Hobson (54-61)
20,1993,Boston Red Sox,AL East,162,80,82,0,.494,5th of 7,,686,698,29.7,30.6,39,16,D.Darwin (5.4),Butch Hobson (80-82)
